DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-10-09,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Real Betis,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,59,3,12,1,0,4,1,3,41,1,16,1,1
2022-10-09,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Celta de Vigo,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,58,6,16,2,0,18,4,14,42,3,9,4,0
2022-10-09,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Espanyol,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,4,5,53,8,13,4,0,9,6,3,47,3,12,4,0
2022-10-10,Spain,La Liga,LEAGUE,2022/2023,Elche,Mallorca,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,42,5,12,4,1,11,3,8,58,7,17,5,1
2022-10-14,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Getafe,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,65,4,13,2,0,6,3,3,35,1,17,3,0
2022-10-15,Spain,La Liga,LEAGUE,2022/2023,Valencia,Elche,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,60,6,14,3,0,8,5,3,40,1,19,6,0
2022-10-15,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Sevilla,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,43,1,17,2,0,4,1,3,57,3,15,3,0
2022-10-15,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Atlético Madrid,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,2,11,61,6,14,0,0,5,2,3,39,1,17,6,0
2022-10-15,Spain,La Liga,LEAGUE,2022/2023,Girona,Cádiz,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,24,8,16,65,6,16,5,0,10,3,7,35,2,9,4,0
2022-10-16,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,FC Barcelona,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,4,43,2,11,2,0,18,4,14,57,3,14,2,0
2022-10-16,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Almería,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,7,10,55,9,6,1,0,12,5,7,45,3,7,1,0
2022-10-16,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Real Valladolid,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13,49,6,13,1,0,14,2,12,51,4,11,4,0
2022-10-16,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Real Sociedad,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,54,1,14,5,1,8,6,2,46,6,17,7,0
2022-10-17,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Osasuna,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,58,8,14,2,0,14,3,11,42,4,23,6,0
2022-10-18,Spain,La Liga,LEAGUE,2022/2023,Atlético Madrid,Rayo Vallecano,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,53,3,11,3,0,14,4,10,47,4,11,0,0
2022-10-18,Spain,La Liga,LEAGUE,2022/2023,Sevilla,Valencia,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,64,11,11,4,1,14,6,8,36,6,26,6,0
2022-10-18,Spain,La Liga,LEAGUE,2022/2023,Getafe,Athletic Club,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,9,4,5,41,7,14,6,0,14,4,10,59,4,11,4,0
2022-10-19,Spain,La Liga,LEAGUE,2022/2023,Elche,Real Madrid,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,38,8,14,1,0,13,9,4,62,2,10,1,0
